Salary,Satisfaction,asd
36.9,40.2,37.60457087
36.6,39.4,37.33924958
37.3,40,37.95833259
39.8,50.3,40.16934334
39.6,49.4,39.99246248
40.3,50.1,40.61154549
50.9,43.3,49.98623107
50.6,42.5,49.72090978
51.4,43.2,50.42843322
52.9,64.2,51.75503967
52.7,63.4,51.57815881
53.6,63.6,52.37412268
54,62.9,52.7278844
54.4,63,53.08164612
54.9,43.2,53.52384827
54.6,42.4,53.25852698
55.3,43,53.87760999
56.9,48.3,55.29265687
56.6,47.4,55.02733558
57.4,48.4,55.73485902
57.9,50.3,56.17706117
58,49.8,56.2655016
58.4,50.8,56.61926332
58.4,49.4,56.61926332
59.9,67.2,57.94586977
59.9,65.4,57.94586977
59.6,64.5,57.68054848
60.6,67.1,58.56495278
60.5,65.6,58.47651235
60.6,64.1,58.56495278
61.2,67.1,59.09559536
61.2,64,59.09559536
61.9,69.3,59.71467837
62,68.8,59.8031188
62.4,69.1,60.15688052
62.9,61.2,60.59908267
62.6,60.4,60.33376138
63.4,61.5,61.04128482
63.9,63.2,61.48348697
64.4,63.1,61.92568912
65.9,53.2,63.25229557
65.6,52.4,62.98697428
66.4,53.1,63.69449772
67,58.2,64.2251403
66.7,57.4,63.95981901
67.4,58,64.57890202
69.9,71.2,66.78991277
69.8,70.4,66.70147234
69.9,65.2,66.78991277
69.7,64.4,66.61303191
70.4,71,67.23211492
70.4,65,67.23211492
75,78.3,71.3003747
74.7,77.5,71.03505341
75,71.3,71.3003747
74.7,70.4,71.03505341
75.4,78.1,71.65413642
75.4,71.1,71.65413642
77,77.3,73.0691833
76.7,76.5,72.80386201
77,66.3,73.0691833
76.7,65.5,72.80386201
77.4,77.1,73.42294502
77.4,66,73.42294502
77.9,81.3,73.86514717
77.6,80.5,73.59982588
78.4,81.2,74.30734932
82,82.2,77.4912048
81.8,81.4,77.31432394
82,72.2,77.4912048
81.8,71.4,77.31432394
82.4,82,77.84496652
82.4,72,77.84496652
82.9,68.3,78.28716867
82.7,67.4,78.11028781
83.4,68.2,78.72937082
84.9,85.3,80.05597727
84.6,84.5,79.79065598
85,74.3,80.1444177
84.7,73.5,79.87909641
85.4,85.2,80.49817942
85.4,74.1,80.49817942
90,81.2,84.5664392
89.7,80.4,84.30111791
90.4,81,84.92020092
